
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-02:09:52-13508)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-02:09:52-13508)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-02:09:52-13508)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-02:09:52-13508)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-02:09:52-13508)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-02:09:52-13508)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-02:09:52-13508)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-02:09:52-13508)	
0	0	0	0	60	0	136.41	1	136.41	60.873999999999995	136.41	1	136.41	64.873999999999995	600	12
71.536	0	71.536	0	120	0	181.774	0	181.774	179.7740000000000001	181.774	0	181.774	181.7740000000000001	1200	11
91.76	0	91.76	0	180	0	223.932	2	223.932	126.1719999999999966	223.932	2	223.932	132.1719999999999681	1800	14
125.326	0	125.326	0	240	0	308.833	4	308.833	111.0649999999999975	308.833	0	308.833	113.0649999999999975	2400	11
195.768	0	195.768	0	300	0	315.718	3	315.718	182.3919999999999952	315.718	3	315.718	190.3919999999999952	3000	13
272.032	0	272.032	0	360	0	404.542	6	404.542	93.5039999999999903	404.542	2	404.542	99.5039999999999903	3600	13
305.038	0	305.038	0	420	0	519.264	8	519.264	48.0919999999999986	519.264	2	519.264	54.0919999999999986	4200	14
395.893	0	395.893	0	480	0	531.906	7	531.906	134.0129999999999765	531.906	0	531.906	136.0129999999999765	4800	8
465.172	0	465.172	0	540	0	592.956	9	592.956	80.44100000000000225	592.956	3	592.956	88.441000000000002	5400	11
504.515	0	504.515	0	600	0	648.146	11	648.146	77.0139999999999813	648.146	2	648.146	83.0139999999999813	6000	10
534.381	0	534.381	0	660	0	669.738	12	669.738	37.3840000000000002	669.738	3	669.738	45.38400000000000017	6600	8
565.132	0	565.132	0	720	0	723.079	10	723.079	186.6979999999999783	723.079	0	723.079	188.6979999999999783	7200	9
624.354	0	624.354	0	780	0	755.899	13	755.899	90.9089999999999914	755.899	2	755.899	96.9089999999999914	7800	10
658.99	0	658.99	0	840	0	780.15	5	780.15	504.117999999999936	780.15	1	780.15	508.117999999999936	8400	14
675.833	0	675.833	0	900	0	821.972	14	821.972	138.1390000000000095	821.972	3	821.972	146.1390000000000093	9000	12
747.031	0	747.031	0	960	0	884.545	16	884.545	53.1499999999999913	884.545	1	884.545	57.1499999999999913	9600	11
827.395	0	827.395	0	1020	0	898.924	15	898.924	149.8929999999999718	898.924	0	898.924	151.8929999999999718	10200	9
839.485	0	839.485	0	1080	0	966.484	17	966.484	120.9989999999999947	966.484	2	966.484	126.9989999999999947	10800	14
874.302	0	874.302	0	1140	0	986.553	19	986.553	97.004999999999995	986.553	4	986.553	107.004999999999995	11400	15
879.548	0	879.548	0	1200	0	1003.372	18	1003.372	121.0699999999999926	1003.372	3	1003.372	129.0699999999999926	12000	6
954.305	0	954.305	0	1260	0	1028.726	20	1028.726	72.420999999999992	1028.726	0	1028.726	74.420999999999992	12600	18
1014.678	0	1014.678	0	1320	0	1129.971	21	1129.971	111.2930000000000058	1129.971	1	1129.971	115.2930000000000057	13200	16
1128.278	0	1128.278	0	1380	0	1292.747	23	1292.747	83.1289999999999903	1292.747	1	1292.747	87.1289999999999903	13800	8
1205.618	0	1205.618	0	1440	0	1322.064	22	1322.064	191.7860000000000007	1322.064	0	1322.064	193.7860000000000007	14400	11
1262.272	0	1262.272	0	1500	0	1363.063	24	1363.063	94.7909999999999965	1363.063	2	1363.063	100.7909999999999965	15000	9
1339.176	0	1339.176	0	1560	0	1425.066	25	1425.066	83.8899999999999861	1425.066	0	1425.066	85.8899999999999861	15600	5
1362.577	0	1362.577	0	1620	0	1452.748	26	1452.748	86.170999999999992	1452.748	1	1452.748	90.1709999999999919	16200	5
1426.381	0	1426.381	0	1680	0	1503.558	29	1503.558	41.59499999999999875	1503.558	1	1503.558	45.59499999999999875	16800	13
1441.928	0	1441.928	0	1740	0	1597.555	28	1597.555	149.627000000000009	1597.555	2	1597.555	155.627000000000009	17400	8
1457.963	0	1457.963	0	1800	0	1603.378	31	1603.378	33.40599999999999157	1603.378	1	1603.378	37.4059999999999915	18000	15
1478.827	0	1478.827	0	1860	0	1677.534	33	1677.534	39.6259999999999904	1677.534	1	1677.534	43.6259999999999904	18600	10
1565.972	0	1565.972	0	1920	0	1696.899	30	1696.899	210.072000000000002	1696.899	3	1696.899	218.072000000000002	19200	10
1600.09	0	1600.09	0	1980	0	1717.762	32	1717.762	111.6719999999999966	1717.762	2	1717.762	117.6719999999999966	19800	14
1633.908	0	1633.908	0	2040	0	1730.293	34	1730.293	74.92199999999999675	1730.293	4	1730.293	84.92199999999999665	20400	12
1645.371	0	1645.371	0	2100	0	1764.1	35	1764.1	96.6889999999999923	1764.1	5	1764.1	108.6889999999999923	21000	9
1655.411	0	1655.411	0	2160	0	1889.238	36	1889.238	196.536999999999977	1889.238	1	1889.238	200.536999999999977	21600	13
1688.701	0	1688.701	0	2220	0	1989.076	27	1989.076	560.6949999999999335	1989.076	0	1989.076	562.6949999999999335	22200	16
1821.064	0	1821.064	0	2280	0	1998.931	37	1998.931	171.866999999999961	1998.931	2	1998.931	177.866999999999961	22800	7
1955.378	0	1955.378	0	2340	0	2075.413	38	2075.413	116.0349999999999962	2075.413	1	2075.413	120.0349999999999962	23400	7
2128.494	0	2128.494	0	2400	0	2235.389	39	2235.389	104.8949999999999816	2235.389	0	2235.389	106.8949999999999816	24000	10
2170.304	0	2170.304	0	2460	0	2305.143	40	2305.143	130.8389999999999985	2305.143	1	2305.143	134.8389999999999981	24600	10
2228.986	0	2228.986	0	2520	0	2332.66	42	2332.66	94.3019999999999921	2332.66	0	2332.66	96.3019999999999921	25200	9
