
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220621-02:57:15-6016)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220621-02:57:15-6016)	
0	0	0	0	60	0	112.896	0	112.896	110.8959999999999863	112.896	0	112.896	112.8959999999999863	600	34
23.845	0	23.845	0	120	0	119.593	1	119.593	91.74799999999999015	119.593	1	119.593	95.7479999999999901	1200	31
48.807	0	48.807	0	180	0	268.514	5	268.514	157.0079999999999806	268.514	5	268.514	169.0079999999999806	1800	31
59.996	0	59.996	0	240	1	293.891	11	293.891	44.7680000000000005	293.891	9	293.891	64.7680000000000005	2400	23
83.477	0	83.477	0	300	2	356.182	9	356.182	124.028999999999996	356.182	7	356.182	140.028999999999996	3000	20
99.506	0	99.506	0	360	4	366.045	7	366.045	238.0260000000000095	366.045	1	366.045	242.0260000000000095	3600	20
113.017	0	113.017	0	420	5	389.592	2	389.592	334.7849999999999667	389.592	2	389.592	340.7849999999999667	4200	21
124.019	0	124.019	0	480	7	392.25	13	392.25	78.3589999999999801	392.25	9	392.25	98.3589999999999801	4800	27
203.039	0	203.039	0	540	6	403.053	3	403.053	335.057000000000015	403.053	3	403.053	343.057000000000015	5400	18
216.153	0	216.153	0	600	7	405.713	10	405.713	168.5449999999999583	405.713	8	405.713	186.5449999999999582	6000	31
219.168	0	219.168	0	660	4	422.131	6	422.131	307.1139999999999175	422.131	0	422.131	309.1139999999999175	6600	20
229.123	0	229.123	0	720	8	483.926	8	483.926	266.8869999999999425	483.926	6	483.926	280.8869999999999425	7200	23
268.514	29.14099999999999805	239.373	1	780	7	486.898	4	486.898	393.4209999999999337	486.898	4	486.898	403.4209999999999337	7800	14
293.891	46.11099999999998987	247.78	2	840	5	510.434	16	510.434	114.841999999999984	510.434	2	510.434	120.841999999999984	8400	23
356.182	82.286000000000001	268.514	1	900	5	526.793	12	526.793	246.278999999999996	526.793	5	526.793	258.278999999999996	9000	19
366.045	86.5349999999999963	273.896	2	960	8	536.193	14	536.193	164.0109999999999666	536.193	7	536.193	180.0109999999999665	9600	28
389.592	86.34899999999998925	279.51	3	1020	8	582.185	15	582.185	212.1399999999999853	582.185	1	582.185	216.1399999999999853	10200	27
392.25	78.85599999999999415	293.891	2	1080	8	629.89	23	629.89	113.4559999999999884	629.89	2	629.89	119.4559999999999883	10800	21
