
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220303-15:14:27-20732)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220303-15:14:27-20732)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220303-15:14:27-20732)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220303-15:14:27-20732)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220303-15:14:27-20732)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220303-15:14:27-20732)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220303-15:14:27-20732)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220303-15:14:27-20732)	
0	0	0	0	60	0	311.339	1	311.339	164.2659999999999621	311.339	1	311.339	168.2659999999999621	600	7
143.073	0	143.073	0	120	0	331.548	0	331.548	329.5480000000000007	331.548	0	331.548	331.5480000000000007	1200	2
183.521	0	183.521	0	180	0	411.865	2	411.865	222.3439999999999932	411.865	2	411.865	228.3439999999999932	1800	7
311.339	96.943999999999988	214.395	1	240	1	549.41	4	549.41	192.129999999999995	549.41	0	549.41	194.129999999999995	2400	6
355.28	0	311.339	0	300	1	650.124	3	650.124	334.7849999999999667	650.124	1	650.124	338.7849999999999667	3000	4
507.809	0	355.28	0	360	0	732.829	6	732.829	157.0079999999999806	732.829	0	732.829	159.0079999999999806	3600	4
573.821	0	507.809	0	420	0	907.23	5	907.23	393.4209999999999337	907.23	2	907.23	399.4209999999999337	4200	8
1047.939	0	573.821	0	480	0	1256.68	8	1256.68	66.18399999999999725	1256.68	1	1256.68	70.18399999999999725	4800	2
1186.496	0	1047.939	0	540	0	1287.965	7	1287.965	238.0260000000000095	1287.965	0	1287.965	240.0260000000000095	5400	9
1265.182	0	1186.496	0	600	0	1422.188	9	1422.188	153.0059999999999712	1422.188	1	1422.188	157.0059999999999712	6000	1
1324.915	0	1265.182	0	660	0	1505.385	11	1505.385	124.028999999999996	1505.385	2	1505.385	130.028999999999996	6600	10
1375.356	0	1324.915	0	720	0	1593.802	10	1593.802	266.8869999999999425	1593.802	0	1593.802	268.8869999999999425	7200	7
1532.054	0	1375.356	0	780	0	1633.426	12	1633.426	97.3719999999999853	1633.426	1	1633.426	101.3719999999999853	7800	6
1601.327	0	1532.054	0	840	0	1755.144	13	1755.144	151.8170000000000068	1755.144	0	1755.144	153.8170000000000068	8400	2
1608.711	0	1601.327	0	900	0	1860.99	14	1860.99	246.278999999999996	1860.99	2	1860.99	252.278999999999996	9000	6
1751.108	0	1608.711	0	960	0	1990.136	16	1990.136	76.3009999999999875	1990.136	0	1990.136	78.3009999999999875	9600	4
1911.835	0	1751.108	0	1020	0	1993	17	1993	50.98599999999998985	1993	2	1993	56.9859999999999898	10200	7
1936.014	0	1911.835	0	1080	0	2024.894	15	2024.894	269.7859999999999437	2024.894	1	2024.894	273.7859999999999437	10800	2
2005.647	0	1936.014	0	1140	0	2264.657	19	2264.657	164.0109999999999666	2264.657	1	2264.657	168.0109999999999666	11400	7
2096.646	0	2005.647	0	1200	0	2308.558	20	2308.558	114.841999999999984	2308.558	2	2308.558	120.841999999999984	12000	6
2187.716	0	2096.646	0	1260	0	2336.673	18	2336.673	329.0259999999999525	2336.673	0	2336.673	331.0259999999999525	12600	4
2308.462	0	2187.716	0	1320	0	2505.048	21	2505.048	192.586000000000012	2505.048	1	2505.048	196.586000000000012	13200	7
2535.663	0	2308.462	0	1380	0	2830.603	23	2830.603	136.2589999999999572	2830.603	1	2830.603	140.2589999999999571	13800	3
2690.344	0	2535.663	0	1440	0	2891.234	22	2891.234	353.571000000000025	2891.234	0	2891.234	355.571000000000025	14400	5
2803.652	0	2690.344	0	1500	0	2969.235	24	2969.235	159.5829999999999695	2969.235	2	2969.235	165.5829999999999695	15000	3
2957.46	0	2803.652	0	1560	0	3150.604	26	3150.604	142.3410000000000075	3150.604	1	3150.604	146.3410000000000075	15600	5
3004.263	0	2957.46	0	1620	0	3177.609	27	3177.609	113.4559999999999884	3177.609	2	3177.609	119.4559999999999883	16200	1
3058.153	0	3004.263	0	1680	0	3244.677	25	3244.677	285.2169999999999832	3244.677	0	3244.677	287.2169999999999832	16800	9
3150.604	61.3579999999999896	3058.153	0	1740	0	3423.859	28	3423.859	269.254999999999995	3423.859	1	3423.859	273.254999999999995	17400	3
3177.609	56.2939999999999967	3089.246	1	1800	0	3562.189	29	3562.189	378.5799999999999265	3562.189	2	3562.189	384.5799999999999265	18000	7
3652.01	0	3121.315	2	1860	0	3704.416	31	3704.416	36.81099999999999267	3704.416	1	3704.416	40.81099999999999267	18600	9
3663.605	0	3150.604	1	1920	0	3820.482	30	3820.482	166.4719999999999793	3820.482	0	3820.482	168.4719999999999793	19200	6
3843.677	0	3177.609	0	1980	0	3921.528	32	3921.528	75.8509999999999988	3921.528	0	3921.528	77.8509999999999988	19800	2
3911.313	0	3652.01	0	2040	0	3985.473	33	3985.473	70.1599999999999963	3985.473	1	3985.473	74.1599999999999963	20400	4
3992.985	0	3663.605	0	2100	0	4044.238	34	4044.238	49.253	4044.238	0	4044.238	51.253	21000	10
4059.565	0	3843.677	0	2160	0	4471.561	36	4471.561	363.073999999999954	4471.561	1	4471.561	367.073999999999954	21600	5
4104.487	0	3911.313	0	2220	0	4490.909	37	4490.909	313.7329999999999462	4490.909	2	4490.909	319.7329999999999462	22200	6
4171.176	0	3992.985	0	2280	0	4621.018	35	4621.018	559.4529999999999725	4621.018	0	4621.018	561.4529999999999725	22800	8
4471.561	31.75699999999999767	4059.565	0	2340	0	4677.63	38	4677.63	202.0689999999999595	4677.63	1	4677.63	206.0689999999999595	23400	4
4786.036	0	4104.487	0	2400	0	4967.825	39	4967.825	179.7889999999999865	4967.825	0	4967.825	181.7889999999999863	24000	2
4869.655	0	4171.176	0	2460	0	5105.334	40	5105.334	231.6789999999999727	5105.334	1	5105.334	235.6789999999999727	24600	4
