
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)	
0	0	0	0	60	0	263.614	0	263.614	261.613999999999918	263.614	0	263.614	263.613999999999918
35.768	0	35.768	0	120	0	293.231	2	293.231	234.6800000000000057	293.231	2	293.231	240.6800000000000057
52.551	0	52.551	0	180	0	303.986	1	303.986	264.21799999999996	303.986	1	303.986	268.21799999999996
60.27	0	60.27	0	240	2	346.082	4	346.082	240.5910000000000072	346.082	4	346.082	250.5910000000000072
95.491	0	95.491	0	300	2	383.528	3	383.528	315.2579999999999232	383.528	3	383.528	323.2579999999999232
111.994	0	111.994	0	360	3	383.945	5	383.945	259.951000000000021	383.945	5	383.945	271.951000000000021
127.87	0	127.87	0	420	1	397.018	6	397.018	255.1479999999999667	397.018	6	397.018	269.1480000000000237
162.509	0	162.509	0	480	2	429.613	7	429.613	251.1039999999999837	429.613	7	429.613	267.1039999999999272
177.885	0	177.885	0	540	1	438	8	438	242.1150000000000082	438	8	438	260.1150000000000082
217.06	0	217.06	0	600	0	521.437	9	521.437	284.3769999999999515	521.437	9	521.437	304.3769999999999515
263.614	38.13199999999999065	225.482	1	660	0	534.83	11	534.83	235.5989999999999885	534.83	2	534.83	241.5989999999999885
293.231	65.9029999999999914	227.328	2	720	0	548.859	10	548.859	283.2450000000000032	548.859	0	548.859	285.2450000000000032
303.986	49.62299999999999025	254.363	3	780	0	568.126	12	568.126	260.1399999999999852	568.126	1	568.126	264.1399999999999852
346.082	51.5369999999999917	263.614	2	840	0	621.659	13	621.659	265.576999999999997	621.659	4	621.659	275.576999999999997
383.528	71.5749999999999883	293.231	1	900	0	634.814	15	634.814	238.8689999999999705	634.814	5	634.814	250.8689999999999705
383.945	49.24199999999999005	294.545	2	960	0	641.734	14	641.734	250.2059999999999595	641.734	3	641.734	258.206000000000016
397.018	45.5639999999999928	303.986	1	1020	0	669.365	16	669.365	258.346999999999979	669.365	6	669.365	272.346999999999979
429.613	21.35900000000000168	311.953	2	1080	0	717.297	17	717.297	271.683999999999968	717.297	7	717.297	287.683999999999968
448.7	0	334.703	3	1140	0	740.124	18	740.124	273.4239999999999775	740.124	8	740.124	291.4239999999999767
521.437	59.26399999999999535	346.082	2	1200	0	812.618	20	812.618	271.78800000000001	812.618	2	812.618	277.7880000000000097
534.83	58.61399999999998985	351.454	3	1260	2	832.874	21	832.874	282.0149999999999852	832.874	0	832.874	284.0149999999999852
548.859	62.2109999999999983	383.528	2	1320	2	838.007	19	838.007	296.5699999999999352	838.007	9	838.007	316.5699999999999352
619.322	0	383.945	1	1380	6	889.684	22	889.684	266.3619999999999657	889.684	1	889.684	270.3619999999999657
639.74	0	397.018	0	1440	3	892.278	25	892.278	218.8729999999999895	892.278	5	892.278	230.8729999999999895
644.76	0	408.254	1	1500	3	905.715	24	905.715	252.9549999999999827	905.715	3	905.715	260.9549999999999265
661.405	0	429.613	0	1560	1	919.8	23	919.8	270.0599999999999447	919.8	4	919.8	280.0599999999999447
